,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory
112917,GCF_006375945.1,Study of chlorhexidine tolerance among Enterococcus faecium,,,Pathogen: clinical or host-associated sample from Enterococcus faecium,,homo sapiens,,,unknown,drainage liquid,,,Pathogen.cl,True,
112918,GCF_006375975.1,Study of chlorhexidine tolerance among Enterococcus faecium,,,Pathogen: clinical or host-associated sample from Enterococcus faecium,,homo sapiens,,,Pus,foot wound,,,Pathogen.cl,True,
112937,GCF_006575625.1,Enterococcus faecium strain:HOU515 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Enterococcus faecium with liaR deletion,,homo sapiens,,,endocarditis,infection,,,Pathogen.cl,True,
112939,GCF_007625025.1,Enterococcus faecium strain:ICIS 18 Genome sequencing and assembly,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,intestines,,,"Microbe, viral or environmental",True,
112957,GCF_008131365.1,Enterococcus faecium Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Enterococcus faecium,,homo sapiens,,,Infectious disease,pleural tissue,,,Pathogen.cl,True,
112997,GCF_008921805.1,Clinical isolate of daptomycin nonsusceptible Enterococcus faecium,,,Pathogen: clinical or host-associated sample from Enterococcus faecium,,homo sapiens,,,Infection,muscle biopsy,,,Pathogen.cl,True,
113007,GCF_008922005.1,Clinical isolate of daptomycin nonsusceptible Enterococcus faecium,,,Pathogen: clinical or host-associated sample from Enterococcus faecium,,homo sapiens,,,infection,subcutaneous tissue biopsy,,,Pathogen.cl,True,
113012,GCF_009078415.1,Clinical isolate of  Enterococcus faecium,,,Pathogen: clinical or host-associated sample from Enterococcus faecium,,homo sapiens,,,Infection,bronco-alveolar lavage,,,Pathogen.cl,True,
113040,GCF_001811575.1,HMP reference genome,,,Sample from Enterococcus sp. HMSC055G03,,homo sapiens,,,,bone sacral,,,Generic,True,
113041,GCF_001811575.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Enterococcus sp. HMSC055G03,,homo sapiens,,,,bone sacral,,,Generic,True,
113042,GCF_001811575.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Enterococcus sp. HMSC055G03,,homo sapiens,,,,bone sacral,,,Generic,True,
113046,GCF_001810855.1,HMP reference genome,,,Sample from Enterococcus sp. HMSC058D07,,homo sapiens,,,,abscess perianal,,,Generic,True,
113047,GCF_001810855.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Enterococcus sp. HMSC058D07,,homo sapiens,,,,abscess perianal,,,Generic,True,
113048,GCF_001810855.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Enterococcus sp. HMSC058D07,,homo sapiens,,,,abscess perianal,,,Generic,True,
113064,GCF_001815065.1,HMP reference genome,,,Sample from Enterococcus sp. HMSC065H03,,homo sapiens,,,,sputum induced,,,Generic,True,
113065,GCF_001815065.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Enterococcus sp. HMSC065H03,,homo sapiens,,,,sputum induced,,,Generic,True,
113066,GCF_001815065.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Enterococcus sp. HMSC065H03,,homo sapiens,,,,sputum induced,,,Generic,True,
113067,GCF_001813575.1,HMP reference genome,,,Sample from Enterococcus sp. HMSC065H12,,homo sapiens,,,,wound vulva,,,Generic,True,
113068,GCF_001813575.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Enterococcus sp. HMSC065H12,,homo sapiens,,,,wound vulva,,,Generic,True,
113069,GCF_001813575.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Enterococcus sp. HMSC065H12,,homo sapiens,,,,wound vulva,,,Generic,True,
113076,GCF_001837695.1,HMP reference genome,,,Sample from Enterococcus sp. HMSC072D11,,homo sapiens,,,,urine cath,,,Generic,True,
113077,GCF_001837695.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Enterococcus sp. HMSC072D11,,homo sapiens,,,,urine cath,,,Generic,True,
113078,GCF_001837695.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Enterococcus sp. HMSC072D11,,homo sapiens,,,,urine cath,,,Generic,True,
113120,GCF_009707505.1,"Linezolid Resistant Enterococcus faecium, carrying poxtA, genome sequencing and assembly",,,Pathogen: clinical or host-associated sample from Enterococcus faecium,,homo sapiens,,,Not collected,feces from healthy volunteer,,,Pathogen.cl,True,
113121,GCF_009707525.1,"Linezolid Resistant Enterococcus faecium, carrying poxtA, genome sequencing and assembly",,,Pathogen: clinical or host-associated sample from Enterococcus faecium,,homo sapiens,,,Not collected,feces from hospitalized patient,,,Pathogen.cl,True,
113137,GCF_009769915.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113138,GCF_009769925.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113139,GCF_009769935.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113140,GCF_009769945.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113141,GCF_009769955.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113142,GCF_009769985.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113143,GCF_009770055.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113144,GCF_009770065.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113145,GCF_009770075.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113146,GCF_009770085.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113147,GCF_009770105.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113148,GCF_009770145.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113149,GCF_009770155.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113150,GCF_009770175.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113151,GCF_009770215.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113152,GCF_009770225.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113153,GCF_009770265.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113154,GCF_009770305.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113155,GCF_009770315.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113156,GCF_009770325.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113157,GCF_009770365.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113158,GCF_009770395.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113159,GCF_009770415.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113160,GCF_009770435.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113161,GCF_009770455.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113162,GCF_009770485.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113163,GCF_009770505.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113164,GCF_009770515.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113165,GCF_009770535.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113166,GCF_009770555.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113167,GCF_009770565.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113168,GCF_009770605.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113169,GCF_009770615.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113170,GCF_009770645.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113171,GCF_009770655.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113172,GCF_009770705.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113173,GCF_009770725.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113174,GCF_009770735.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113175,GCF_009770745.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113176,GCF_009770755.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113177,GCF_009770805.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113178,GCF_009770825.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113179,GCF_009770845.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113180,GCF_009770865.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113181,GCF_009770875.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113182,GCF_009770885.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113183,GCF_009770905.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113184,GCF_009770945.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113185,GCF_009770965.1,State-Wide Genomic and Epidemiological Analyses of VREfm in Tasmania's Public Hospitals,,,Microbe sample from Enterococcus faecium,,homo sapiens,,,,patient sample,,,"Microbe, viral or environmental",True,
113209,GCF_011386845.1,Enterococcus faecium Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Enterococcus faecium,,homo sapiens,,,Infectious disease,bronchial secretion,,,Pathogen.cl,True,
113542,GCF_900332125.2,"Draft genome sequence of a new sequence type, ST1421, of Vancomycin-Resistant Enterococcus faecium (VREfm)",,,"Draft genome sequence of a new sequence type, ST1421, of Vancomycin-Resistant Enterococcus faecium (VREfm)",,homo sapiens,,,,patient sample,,,Generic,True,
113685,GCF_000808125.1,Listeria monocytogenes strain:SLU3267 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Listeria monocytogenes,,homo sapiens,,,Listeriosis,blood from 86 year old patient,,,Pathogen.cl,True,
113686,GCF_000808135.1,Listeria monocytogenes strain:SLU3268 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Listeria monocytogenes,,homo sapiens,,,Listeriosis invasive,blood from 86 year old patient,,,Pathogen.cl,True,
113702,GCF_001027065.1,Listeria monocytogenes L2074 Genome sequencing,,,Microbe sample for Listeria monocytogenes L2074,,homo sapiens,,,,human clinical case,,,"Microbe, viral or environmental",True,
113703,GCF_001027085.1,Listeria monocytogenes L1846 Genome sequencing,,,Microbe sample for Listeria monocytogenes L1846,,homo sapiens,,,,human clinical case,,,"Microbe, viral or environmental",True,
113705,GCF_001027205.1,Listeria monocytogenes L2676 Genome sequencing,,,Microbe sample for Listeria monocytogenes L2676,,homo sapiens,,,,human clinical case,,,"Microbe, viral or environmental",True,
113706,GCF_001027245.1,Listeria monocytogenes strain:L2626 Genome sequencing,,,Microbe sample for Listeria monocytogenes L2626,,homo sapiens,,,,human host,,,"Microbe, viral or environmental",True,
113978,GCF_001709625.1,"Genotypes associated with Listeria monocytogenes food-chain isolates displaying impaired or enhanced tolerances to cold, salt, acid, and desiccation stress",,,Microbe sample from Listeria monocytogenes,,,,,,asymptomatic human carriage,,,"Microbe, viral or environmental",True,
114289,GCA_002214025.1,Canadian Outbreak of Listeria monocytogenes Genome Sequencing and Comparison,,,Pathogen: clinical or host-associated sample from Listeria monocytogenes serotype 1/2a str. 01-1468,,homo sapiens,,,Listeriosis,brain tissue,,,Pathogen.cl,True,
114291,GCA_002240245.1,Canadian Outbreak of Listeria monocytogenes Genome Sequencing and Comparison,,,Pathogen: clinical or host-associated sample from Listeria monocytogenes serotype 1/2a str. 01-6771,,homo sapiens,,,Listeriosis,vitreous of eye,,,"Pathogen,Pathogen.cl",True,
114409,GCF_002027885.1,Listeria monocytogenes Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Listeria monocytogenes,,homo sapiens,,,Listeriosis,placental surface swab,,,Pathogen.cl,True,
114413,GCF_002028065.1,Listeria monocytogenes Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Listeria monocytogenes,,homo sapiens,,,Listeriosis,ear swab,,,Pathogen.cl,True,
116043,GCF_003002155.1,GenomeTrakr Project: US Food and Drug Administration,,GenomeTrakr,Pathogen: clinical or host-associated sample from Listeria monocytogenes,,homo sapiens,,,missing,amniotic fluid,human,,Pathogen.cl,True,
116044,GCF_003002155.1,GenomeTrakr umbrella project for Listeria sp,,GenomeTrakr,Pathogen: clinical or host-associated sample from Listeria monocytogenes,,homo sapiens,,,missing,amniotic fluid,human,,Pathogen.cl,True,
116045,GCF_003002155.1,GenomeTrakr umbrella project,,GenomeTrakr,Pathogen: clinical or host-associated sample from Listeria monocytogenes,,homo sapiens,,,missing,amniotic fluid,human,,Pathogen.cl,True,
116225,GCF_003586685.1,Listeria monocytogenes Genome sequencing and assembly,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,missing,cerebrospinal fluid (csf),,,"Microbe, viral or environmental",True,
116231,GCF_003586865.1,Listeria monocytogenes Genome sequencing and assembly,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,missing,cerebrospinal fluid (csf),,,"Microbe, viral or environmental",True,
116233,GCF_003586905.1,Listeria monocytogenes Genome sequencing and assembly,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,missing,cerebrospinal fluid (csf),,,"Microbe, viral or environmental",True,
116241,GCF_003587165.1,Listeria monocytogenes Genome sequencing and assembly,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,missing,cerebrospinal fluid (csf),,,"Microbe, viral or environmental",True,
116242,GCF_003587195.1,Listeria monocytogenes Genome sequencing and assembly,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,missing,blood and feces,,,"Microbe, viral or environmental",True,
116251,GCF_003587425.1,Listeria monocytogenes Genome sequencing and assembly,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,missing,placenta,,,"Microbe, viral or environmental",True,
116268,GCF_003588065.1,Listeria monocytogenes Genome sequencing and assembly,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,missing,vaginal fluid,,,"Microbe, viral or environmental",True,
116279,GCF_003588305.1,Listeria monocytogenes Genome sequencing and assembly,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,missing,cerebrospinal fluid (csf),,,"Microbe, viral or environmental",True,
116304,GCF_003588985.1,Listeria monocytogenes Genome sequencing and assembly,,,Microbe sample from Listeria monocytogenes,,homo sapiens,,,missing,cerebrospinal fluid (csf),,,"Microbe, viral or environmental",True,
116347,GCF_003607205.1,Listeria monocytogenes Genome sequencing and assembly,,,Pathogen sample from Listeria monocytogenes,,missing,,,missing,thalamic basal ganglia,human,,Pathogen.cl,True,
116426,GCF_000759575.1,Campylobacter jejuni strain:G1 Genome sequencing,,,Pathogen: clinical or host-associated sample of Campylobacter jejuni,,homo sapiens,,,Guillain Barre syndrome,guillain barre syndrome patient,,,Pathogen.cl,True,
116933,GCA_003716305.1,Whole-Genome characteristics of Campylobacter jejuni strains isolated from patients with diarrhea in northeastern Poland,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,feaces,,,Pathogen.cl,True,
116934,GCA_003716485.1,Whole-Genome characteristics of Campylobacter jejuni strains isolated from patients with diarrhea in northeastern Poland,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,feaces,,,Pathogen.cl,True,
116935,GCA_003716545.1,Whole-Genome characteristics of Campylobacter jejuni strains isolated from patients with diarrhea in northeastern Poland,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,diarrhea,feaces,,,Pathogen.cl,True,
116936,GCA_003716565.1,Whole-Genome characteristics of Campylobacter jejuni strains isolated from patients with diarrhea in northeastern Poland,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,-,feaces,,,Pathogen.cl,True,
116939,GCA_006346115.1,Domestication of Campylobacter jejuni NCTC 11168,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni,,homo sapiens,,,Campylobacteriosis,laboratory reference strain,,,Pathogen.cl,True,
116953,GCF_000440015.1,Campylobacter jejuni BJ-CJD101 Genome sequencing and assembly,,,Sample from Campylobacter jejuni BJ-CJD101,,homo sapiens,,,,stool specimen of one diarrheal patient,,,Generic,True,
116954,GCF_001516495.1,Campylobacter jejuni BJ-CJGB95377 Genome sequencing and assembly,,,Sample from Campylobacter jejuni BJ-CJGB95377,,homo sapiens,,,,stool specimen from a guillain-barre syndrome patient,,,Generic,True,
116955,GCF_001516505.1,Campylobacter jejuni BJ-CJGB96114 Genome sequencing and assembly,,,Sample from Campylobacter jejuni BJ-CJGB96114,,homo sapiens,,,,stool specimen from a guillain-barre syndrome patient,,,Generic,True,
116956,GCF_001516485.1,Campylobacter jejuni BJ-CJGB96G25 Genome sequencing and assembly,,,Sample from Campylobacter jejuni BJ-CJGB96G25,,homo sapiens,,,,stool specimen from a guillain-barre syndrome patient,,,Generic,True,
116984,GCF_001516415.1,Campylobacter jejuni HB-CJGB-LL Genome sequencing and assembly,,,Sample from Campylobacter jejuni HB-CJGB-LL,,homo sapiens,,,,stool specimen from a guillain-barre syndrome patient,,,Generic,True,
116985,GCF_001516425.1,Campylobacter jejuni HB-CJGB-LXC Genome sequencing and assembly,,,Sample from Campylobacter jejuni HB-CJGB-LXC,,homo sapiens,,,,stool specimen from a guillain-barre syndrome patient,,,Generic,True,
116986,GCF_001516405.1,Campylobacter jejuni HB-CJGB-QYT Genome sequencing and assembly,,,Sample from Campylobacter jejuni HB-CJGB-QYT,,homo sapiens,,,,stool specimen from a guillain-barre syndrome patient,,,Generic,True,
116987,GCF_001516435.1,Campylobacter jejuni HB-CJGB-XWM Genome sequencing and assembly,,,Sample from Campylobacter jejuni HB-CJGB-XWM,,homo sapiens,,,,stool specimen from a guillain-barre syndrome patient,,,Generic,True,
116992,GCA_002983725.1,FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science,,,Pathogen: clinical or host-associated sample from Campylobacter jejuni subsp. doylei,,homo sapiens,,,Campylobacter infection,"blood culture from a patient in cape town, south africa",,,Pathogen.cl,True,
116993,GCA_002983725.1,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: clinical or host-associated sample from Campylobacter jejuni subsp. doylei,,homo sapiens,,,Campylobacter infection,"blood culture from a patient in cape town, south africa",,,Pathogen.cl,True,
116996,GCA_900474415.1,NCTC_3000,,,NCTC11925,,human child,,,,diarrhoea,,,Generic,True,
116998,GCA_900638625.1,NCTC_3000,,,NCTC11924,,human (child),,,,diarrhoea,,,Generic,True,
117016,GCF_001299565.1,Campylobacter jejuni subsp. jejuni strain:RM3197 | isolate:Cape Town strain 308.95 Genome sequencing and assembly,,,Pathogen: Campylobacter jejuni HS:41 clinical sample from male with Guillain-Barre Syndrome,,homo sapiens,,,Guillain-Barre syndrome,"cape town, south africa",,,Pathogen.cl,True,
117017,GCF_001299595.1,Campylobacter jejuni subsp. jejuni strain:RM3196 | isolate:Capetown strain 233.94 Genome sequencing and assembly,,,Pathogen: Campylobacter jejuni HS:41 clinical sample from female with Guillain-Barre Syndrome,,homo sapiens,,,Guillain-Barre syndrome,"cape town, south africa",,,Pathogen.cl,True,
117042,GCF_000254595.1,Campylobacter jejuni subsp. jejuni 2008-1025 genome sequencing,,,Generic sample from Campylobacter jejuni subsp. jejuni 2008-1025,,homo sapiens,,,,"male born may 30, 2005",,,Generic,True,
117043,GCF_000254715.1,Campylobacter jejuni subsp. jejuni 2008-831 genome sequencing,,,Generic sample from Campylobacter jejuni subsp. jejuni 2008-831,,homo sapiens,,,,male born march 1996,,,Generic,True,
117044,GCF_000254635.1,Campylobacter jejuni subsp. jejuni 2008-872 genome sequencing,,,Generic sample from Campylobacter jejuni subsp. jejuni 2008-872,,homo sapiens,,,,male born february 1932,,,Generic,True,
117045,GCF_000254615.1,Campylobacter jejuni subsp. jejuni 2008-894 genome sequencing,,,Generic sample from Campylobacter jejuni subsp. jejuni 2008-894,,homo sapiens,,,,29 year old male,,,Generic,True,
117046,GCF_000254695.1,Campylobacter jejuni subsp. jejuni 2008-979 genome sequencing,,,Generic sample from Campylobacter jejuni subsp. jejuni 2008-979,,homo sapiens,,,,45 year old male,,,Generic,True,
117047,GCF_000254655.1,Campylobacter jejuni subsp. jejuni 2008-988 genome sequencing,,,Generic sample from Campylobacter jejuni subsp. jejuni 2008-988,,homo sapiens,,,,male born april 1935,,,Generic,True,
117081,GCF_000242395.1,Campylobacter jejuni subsp. jejuni H22082 genome sequencing,,,human clinical sample (H22082),,homo sapiens,,,,fecal material from case of campylobacteroiosis,,,Generic,True,
117086,GCF_000355825.1,Campylobacter jejuni subsp. jejuni ICDCCJ07002 Genome sequencing and assembly,,,Sample from Campylobacter jejuni subsp. jejuni ICDCCJ07002,,homo sapiens,,,,stool from diarrheal patient,,,Generic,True,
117087,GCF_000355845.1,Campylobacter jejuni subsp. jejuni ICDCCJ07004 Genome sequencing and assembly,,,Sample from Campylobacter jejuni subsp. jejuni ICDCCJ07004,,homo sapiens,,,,stool from healthy carrier,,,Generic,True,
117096,GCF_000254395.1,Campylobacter jejuni subsp. jejuni LMG 23264 genome sequencing,,,Generic sample from Campylobacter jejuni subsp. jejuni LMG 23264,,homo sapiens,,,,collected between 2001-2002,,,Generic,True,
